recv_time sog lng lat
2017-02-11 12:55:57 124 121.39604 31.516151
2017-02-11 12:56:06 124 121.395526 31.516431
2017-02-11 12:56:45 125 121.393266 31.517731
2017-02-11 12:56:56 125 121.392763 31.518025
2017-02-11 12:57:36 126 121.390398 31.519386
2017-02-11 12:57:46 126 121.389895 31.51969
2017-02-11 12:58:36 125 121.387003 31.521336
2017-02-11 12:58:46 125 121.386425 31.521645
2017-02-11 12:59:25 125 121.384213 31.52287
2017-02-11 12:59:56 125 121.382441 31.523838
2017-02-11 13:00:16 125 121.381288 31.524468
2017-02-11 13:00:37 125 121.380133 31.525093
2017-02-11 13:00:46 125 121.379611 31.525373
2017-02-11 13:01:16 125 121.377823 31.526333
2017-02-11 13:01:26 125 121.377306 31.52661
2017-02-11 13:01:37 125 121.376675 31.52695
2017-02-11 13:01:46 125 121.376106 31.52725
2017-02-11 13:01:57 125 121.375545 31.52757
2017-02-11 13:02:05 125 121.375028 31.52786
2017-02-11 13:02:16 125 121.374395 31.528206
2017-02-11 13:02:26 126 121.373871 31.528488
2017-02-11 13:03:06 126 121.371578 31.529751
2017-02-11 13:03:45 126 121.369323 31.530975
2017-02-11 13:04:06 126 121.368105 31.531636
2017-02-11 13:04:16 127 121.367538 31.531953
2017-02-11 13:04:46 126 121.365835 31.532935
2017-02-11 13:05:07 127 121.364631 31.533613
2017-02-11 13:05:56 125 121.361911 31.53532
2017-02-11 13:06:26 126 121.360273 31.536453
2017-02-11 13:06:46 126 121.35924 31.53714
2017-02-11 13:07:06 126 121.358138 31.537928
2017-02-11 13:07:16 126 121.357671 31.53827
2017-02-11 13:08:15 125 121.354531 31.54052
2017-02-11 13:08:26 125 121.353953 31.540926
2017-02-11 13:08:36 125 121.353433 31.5413
2017-02-11 13:08:45 125 121.352966 31.541636
2017-02-11 13:08:55 125 121.352451 31.542013
2017-02-11 13:09:15 124 121.351416 31.542758
2017-02-11 13:09:25 124 121.350948 31.54309
2017-02-11 13:09:37 124 121.350323 31.543535
2017-02-11 13:09:56 124 121.349333 31.544228
2017-02-11 13:10:16 124 121.348291 31.544965
2017-02-11 13:10:36 124 121.347201 31.545738
2017-02-11 13:10:46 123 121.346735 31.54607
2017-02-11 13:10:56 123 121.346216 31.546435
2017-02-11 13:11:06 124 121.34565 31.546838
2017-02-11 13:11:55 123 121.343081 31.548611
2017-02-11 13:12:25 123 121.341511 31.549686
2017-02-11 13:12:37 123 121.340943 31.550085
2017-02-11 13:13:07 123 121.33939 31.551161
2017-02-11 13:13:37 123 121.337855 31.552253
2017-02-11 13:13:46 123 121.337391 31.552585
2017-02-11 13:13:57 123 121.336876 31.552953
2017-02-11 13:14:06 123 121.336313 31.553358
2017-02-11 13:14:46 123 121.334316 31.554805
2017-02-11 13:14:56 122 121.33385 31.55521
2017-02-11 13:15:15 122 121.332915 31.556006
2017-02-11 13:15:46 122 121.331456 31.557161
2017-02-11 13:16:15 122 121.329988 31.558318
2017-02-11 13:16:37 122 121.328993 31.559161
2017-02-11 13:16:47 122 121.328581 31.559533
2017-02-11 13:16:57 123 121.328123 31.559951
2017-02-11 13:17:06 122 121.327623 31.560415
2017-02-11 13:17:15 122 121.327218 31.56079
2017-02-11 13:17:37 122 121.326275 31.561666
2017-02-11 13:17:45 123 121.325873 31.562046
2017-02-11 13:18:46 123 121.323171 31.564563
2017-02-11 13:18:56 123 121.322721 31.564978
2017-02-11 13:19:05 123 121.322268 31.565403
2017-02-11 13:19:25 123 121.32134 31.56623
2017-02-11 13:19:46 122 121.320411 31.567106
2017-02-11 13:19:56 122 121.319985 31.567543
2017-02-11 13:20:05 122 121.319641 31.567878
2017-02-11 13:20:25 122 121.31868 31.568818
2017-02-11 13:20:35 123 121.318238 31.569255
2017-02-11 13:20:45 123 121.3178 31.569696
2017-02-11 13:21:05 123 121.316928 31.570571
2017-02-11 13:21:26 123 121.316055 31.57144
2017-02-11 13:21:45 123 121.315206 31.572311
2017-02-11 13:21:56 123 121.314733 31.572791
2017-02-11 13:22:05 124 121.314385 31.573138
2017-02-11 13:22:36 124 121.313036 31.574498
2017-02-11 13:23:05 124 121.311726 31.575811
2017-02-11 13:23:25 124 121.310865 31.576696
2017-02-11 13:23:36 124 121.310433 31.577143
2017-02-11 13:23:56 125 121.30962 31.577996
2017-02-11 13:24:08 124 121.309151 31.578491
2017-02-11 13:24:26 124 121.308308 31.579396
2017-02-11 13:24:35 125 121.307883 31.579848
2017-02-11 13:24:45 124 121.307463 31.5803
2017-02-11 13:24:57 124 121.307041 31.580755
2017-02-11 13:25:26 124 121.305775 31.582106
2017-02-11 13:25:37 124 121.305348 31.582555
2017-02-11 13:25:56 124 121.30447 31.583503
2017-02-11 13:26:06 124 121.304051 31.583958
2017-02-11 13:26:17 124 121.30363 31.584411
2017-02-11 13:26:45 125 121.302395 31.585728
2017-02-11 13:26:56 124 121.301978 31.586181
2017-02-11 13:27:07 124 121.301525 31.586673
2017-02-11 13:27:36 124 121.300261 31.588015
2017-02-11 13:27:55 124 121.299475 31.588818
2017-02-11 13:28:25 124 121.298106 31.590181
2017-02-11 13:28:36 124 121.297636 31.590678
2017-02-11 13:28:55 124 121.29684 31.591463
2017-02-11 13:29:38 124 121.295001 31.593316
2017-02-11 13:30:06 124 121.293693 31.594638
2017-02-11 13:30:16 124 121.293303 31.595031
2017-02-11 13:30:26 124 121.292821 31.595506
2017-02-11 13:30:37 124 121.292373 31.595931
2017-02-11 13:30:45 124 121.292016 31.596276
2017-02-11 13:31:16 125 121.290641 31.597626
2017-02-11 13:31:26 125 121.29015 31.598108
2017-02-11 13:31:36 125 121.289746 31.598503
2017-02-11 13:32:16 125 121.287978 31.600268
2017-02-11 13:32:26 125 121.287498 31.60076
2017-02-11 13:32:35 126 121.287103 31.601158
2017-02-11 13:32:56 125 121.286211 31.602048
2017-02-11 13:33:16 125 121.285341 31.602941
2017-02-11 13:33:36 126 121.284466 31.603838
2017-02-11 13:34:27 125 121.282251 31.606148
2017-02-11 13:34:55 125 121.281008 31.607391
2017-02-11 13:35:16 126 121.280076 31.60832
2017-02-11 13:35:36 125 121.279175 31.609195
2017-02-11 13:35:56 126 121.278315 31.610008
2017-02-11 13:36:36 126 121.276415 31.611786
2017-02-11 13:36:46 126 121.275943 31.61222
2017-02-11 13:36:55 126 121.275521 31.612615
2017-02-11 13:37:07 126 121.274958 31.613138
2017-02-11 13:37:16 126 121.27454 31.613526
2017-02-11 13:37:45 126 121.273141 31.614805
2017-02-11 13:37:57 127 121.272635 31.615271
2017-02-11 13:38:07 127 121.272176 31.615701
